combo,signal,base,f1_slope,f2_sma,f3_move,f4_xtenor,sharpe,sortino,ann_ret,vol,mdd,calmar,excess,n_events,eq_final
F1+F3,z_move,baseline,-0.25,,"(80, 120)",,0.17700300311809214,0.20642482542076226,0.037299109770696504,0.0977334252298248,-0.23607758712951366,0.15799513297394885,0.05342025341885781,17,1.8682757520891544
F3+F4,z_move,baseline,,,"(80, 120)",2.0,0.17700300311809214,0.20642482542076226,0.037299109770696504,0.0977334252298248,-0.23607758712951366,0.15799513297394885,0.05342025341885781,14,1.8682757520891544
F3+F4,z_move,baseline,,,"(80, 140)",2.0,0.17700300311809214,0.20642482542076226,0.037299109770696504,0.0977334252298248,-0.23607758712951366,0.15799513297394885,0.05342025341885781,14,1.8682757520891544
F1+F3,z_move,baseline,-0.5,,"(80, 140)",,0.17700300311809214,0.20642482542076226,0.037299109770696504,0.0977334252298248,-0.23607758712951366,0.15799513297394885,0.05342025341885781,17,1.8682757520891544
F3,z_move,baseline,,,"(80, 140)",,0.17700300311809214,0.20642482542076226,0.037299109770696504,0.0977334252298248,-0.23607758712951366,0.15799513297394885,0.05342025341885781,17,1.8682757520891544
F1+F3,z_move,baseline,0.0,,"(80, 140)",,0.17700300311809214,0.20642482542076226,0.037299109770696504,0.0977334252298248,-0.23607758712951366,0.15799513297394885,0.05342025341885781,17,1.8682757520891544
F1+F3,z_move,baseline,-0.25,,"(80, 140)",,0.17700300311809214,0.20642482542076226,0.037299109770696504,0.0977334252298248,-0.23607758712951366,0.15799513297394885,0.05342025341885781,17,1.8682757520891544
F1+F3,z_move,baseline,-0.5,,"(80, 120)",,0.17700300311809214,0.20642482542076226,0.037299109770696504,0.0977334252298248,-0.23607758712951366,0.15799513297394885,0.05342025341885781,17,1.8682757520891544
F1+F3,z_move,baseline,0.0,,"(80, 120)",,0.17700300311809214,0.20642482542076226,0.037299109770696504,0.0977334252298248,-0.23607758712951366,0.15799513297394885,0.05342025341885781,17,1.8682757520891544
F3,z_move,baseline,,,"(80, 120)",,0.17700300311809214,0.20642482542076226,0.037299109770696504,0.0977334252298248,-0.23607758712951366,0.15799513297394885,0.05342025341885781,17,1.8682757520891544
